scenario,check,status,detail
SC7,bounded01::modal_share_tax_r12,ok,min=0.1360005675012111 max=0.1881518045801198
SC7,bounded01::modal_share_bus_r12,ok,min=0.1000330329421634 max=0.3077962111469864
SC7,bounded01::modal_share_met_r12,ok,min=0.152 max=0.2517063498665917
SC7,bounded01::modal_share_mot_r12,ok,min=0.1592172390383228 max=0.2150089586063975
SC7,bounded01::modal_share_oth_r12,ok,min=0.054843717940288 max=0.064160049113083
SC7,bounded01::brt_share_of_bus,ok,min=0.4 max=0.55
SC7,plausible::occ_car,ok,min=1.0 threshold=1.0
SC7,plausible::occ_mot,ok,min=1.28 threshold=1.0
SC7,plausible::occ_tax,ok,min=4.07 threshold=1.0
SC7,plausible::occ_bus,ok,min=45.93 threshold=5.0
SC7,plausible::occ_met,ok,min=876.0 threshold=10.0
SC7,positive::spd_mot,ok,min=26.299171784160222
SC7,positive::spd_car,ok,min=22.781811548464315
SC7,positive::spd_tax,ok,min=21.06650975857901
SC7,positive::spd_bus,ok,min=17.967188901592607
SC7,positive::spd_met,ok,min=21.8812
SC7,positive::travel_time_motorcycle_hours,ok,min=0.3807130367780276
SC7,positive::travel_time_car_hours,ok,min=0.4148938035718598
SC7,positive::travel_time_taxi_hours,ok,min=0.4486757680279946
SC7,positive::travel_time_bus_hours,ok,min=0.4996572273811515
SC7,positive::travel_time_metro_hours,ok,min=0.4430689251147877
SC8,year_span,ok,min=2012.0 max=2030.0 rows=19
SC8,nonnegative::trips_per_year,ok,min=6370889222.319366
SC8,nonnegative::fuel_gasoline_litre_year,ok,min=3654620000.0
SC8,nonnegative::fuel_CNG_kg_year,ok,min=551841790.6294749
SC8,nonnegative::concentration_PM25_ugm3,ok,min=27.341801373870204
SC8,nonnegative::concentration_NO2_ugm3,ok,min=45.571924614603326
SC8,nonnegative::private_cars_total,ok,min=3504556.0
SC8,nonnegative::taxis_total,ok,min=77949.0
SC8,nonnegative::buses_total,ok,min=2047.0
SC8,nonnegative::brts_total,ok,min=942.0
SC8,nonnegative::metro_cars_total,ok,min=805.0
SC8,city_modal_sum,ok,max_abs_dev=3.3306690738754696e-16
SC8,r12_modal_sum,ok,max_abs_dev=4.440892098500626e-16
SC8,taxi_fuel_sum,ok,max_abs_dev=1.1102230246251565e-16
SC8,bounded01::share_taxi_CNG,ok,min=0.9 max=0.9
SC8,bounded01::share_taxi_EV,ok,min=0.0 max=0.0
SC8,bounded01::share_taxi_gasoline,ok,min=0.0999999999999999 max=0.0999999999999999
SC8,bounded01::modal_share_car,ok,min=0.3675330289154041 max=0.6223295177807698
SC8,bounded01::modal_share_taxi,ok,min=0.1766651975940266 max=0.229930822
SC8,bounded01::modal_share_bus,ok,min=0.035682879821833 max=0.2061320912326127
SC8,bounded01::modal_share_metro,ok,min=0.0619129095226186 max=0.1133328141240865
SC8,bounded01::modal_share_motorcycle,ok,min=0.04589568366527 max=0.0819110614623857
SC8,bounded01::modal_share_other,ok,min=0.0315654741383548 max=0.0474294529999999
SC8,bounded01::modal_share_car_r12,ok,min=0.1571107415094187 max=0.2517150518192176
SC8,bounded01::modal_share_tax_r12,ok,min=0.1360005675012111 max=0.1881518045801198
SC8,bounded01::modal_share_bus_r12,ok,min=0.1000330329421634 max=0.3077962111469864
SC8,bounded01::modal_share_met_r12,ok,min=0.152 max=0.2588918460105912
SC8,bounded01::modal_share_mot_r12,ok,min=0.1592172390383228 max=0.2150089586063975
SC8,bounded01::modal_share_oth_r12,ok,min=0.054843717940288 max=0.064160049113083
SC8,bounded01::brt_share_of_bus,ok,min=0.4 max=0.55
SC8,plausible::occ_car,ok,min=1.0 threshold=1.0
SC8,plausible::occ_mot,ok,min=1.28 threshold=1.0
SC8,plausible::occ_tax,ok,min=4.07 threshold=1.0
SC8,plausible::occ_bus,ok,min=45.93 threshold=5.0
SC8,plausible::occ_met,ok,min=876.0 threshold=10.0
SC8,positive::spd_mot,ok,min=26.299171784160222
SC8,positive::spd_car,ok,min=22.781811548464315
SC8,positive::spd_tax,ok,min=21.06650975857901
SC8,positive::spd_bus,ok,min=17.967188901592607
SC8,positive::spd_met,ok,min=21.8812
SC8,positive::travel_time_motorcycle_hours,ok,min=0.3780060332974799
SC8,positive::travel_time_car_hours,ok,min=0.4148938035718598
SC8,positive::travel_time_taxi_hours,ok,min=0.4486757680279946
SC8,positive::travel_time_bus_hours,ok,min=0.4758959962169117
SC8,positive::travel_time_metro_hours,ok,min=0.4430689251147877
SC9,year_span,ok,min=2012.0 max=2030.0 rows=19
SC9,nonnegative::trips_per_year,ok,min=6370889222.319366
SC9,nonnegative::fuel_gasoline_litre_year,ok,min=3654620000.0
